文本,单选,日期,附件,话题/标题,来源平台,发布时间,关键数据/热度,核心摘要,来源链接,笔记数/发帖量,话题指数,关联商品月销量,互动合计（赞+评+藏）
,,,,必朗官方 - 保康暴雨 暖视频里那把伞火了,抖音,2026-07,工厂实拍 | 反季雨伞 6800万 | 12w粉,抖音中端雨伞赛道的工厂实拍内容，账号必朗官方（品牌，12w粉），围绕话题#反季雨伞（6800万播放 / 1.2w视频 / 同比+9%），代表视频《保康暴雨 暖视频里那把伞火了》。,https://www.douyin.com/search/反季雨伞?type=video,视频1.2w / 播放6800万,搜索热度+24%,月销5万-10万单,广告投放 ROI 3.2 / 单次转化成本 ¥4.8 / 月GMV 1200万
,,,,小红薯测评 - 暴雨12小时 12骨伞全程无故障,抖音,2026-Q1,对比实验 | 高尔夫伞 6200万 | 87.6w粉,抖音雨伞横评/对比赛道的对比实验内容，账号小红薯测评（测评号，87.6w粉），围绕话题#高尔夫伞（6200万播放 / 1.2w视频 / 同比+11%），代表视频《暴雨12小时 12骨伞全程无故障》。,https://www.douyin.com/search/高尔夫伞?type=video,视频1.2w / 播放6200万,搜索热度+12%,月销5万-10万单,蝉妈妈榜 雨伞品类 销量榜 No.1
,,,,黑雨伞源头工厂 - 梅雨季通勤神伞 5折口袋伞实测,抖音,2026-04,工厂实拍 | 保康暖视频 800万 | 5.6w粉,抖音黑胶/防晒/直供赛道的工厂实拍内容，账号黑雨伞源头工厂（源头工厂，5.6w粉），围绕话题#保康暖视频（800万播放 / 0.2w视频 / 同比新），代表视频《梅雨季通勤神伞 5折口袋伞实测》。,https://www.douyin.com/search/保康暖视频?type=video,视频0.2w / 播放800万,搜索热度+46%,蝉妈妈销量榜Top 3,特效道具 雨伞AR 使用 1.2亿 次
,,,,江浙沪梅雨 - 我用这把伞给油纸伞重生的勇气,抖音,2026-08-12,KOL体验 | 一次性雨衣伞 8600万 | 42w粉,抖音梅雨季/雨具实用赛道的KOL体验内容，账号江浙沪梅雨（本地资讯，42w粉），围绕话题#一次性雨衣伞（8600万播放 / 1.6w视频 / 同比+8%），代表视频《我用这把伞给油纸伞重生的勇气》。,https://www.douyin.com/search/一次性雨衣伞?type=video,视频1.6w / 播放8600万,搜索热度+46%,蝉妈妈销量榜Top 3,千川 投放 单计划日耗 ¥8000 / 转化 2.4万 / 客单价 ¥58
,,,,舟山小船哥 - 12骨 vs 8骨 vs 6骨 哪种才防风,抖音,2025-12,广告投放 | 万向钓鱼伞 1800万 | 44w粉,抖音海上/极端天气雨伞赛道的广告投放内容，账号舟山小船哥（渔民，44w粉），围绕话题#万向钓鱼伞（1800万播放 / 0.4w视频 / 同比+44%），代表视频《12骨 vs 8骨 vs 6骨 哪种才防风》。,https://www.douyin.com/search/万向钓鱼伞?type=video,视频0.4w / 播放1800万,搜索热度++85%,月销8千-1万单,POI 杭州萧山 雨伞工厂 打卡 6.8w 次
,,,,小红薯 - 黑胶伞防晒实验 UV卡片变色测试,抖音,2026-08-05,实景测试 | 马卡龙伞 4800万 | 180w粉,抖音防晒伞/通勤/颜值赛道的实景测试内容，账号小红薯（种草，180w粉），围绕话题#马卡龙伞（4800万播放 / 0.8w视频 / 同比+35%），代表视频《黑胶伞防晒实验 UV卡片变色测试》。,https://www.douyin.com/search/马卡龙伞?type=video,视频0.8w / 播放4800万,搜索热度+18%,蝉妈妈销量榜Top 10,千川 投放 单计划日耗 ¥8000 / 转化 2.4万 / 客单价 ¥58
,,,,浙江飞恋官方旗舰店 - 挑战飞恋手电筒伞 照亮3公里夜路,抖音,2026-08-10,广告投放 | 晴雨两用伞 6.4亿 | 46.2w粉,抖音工厂直播/反向折叠/IP联名赛道的广告投放内容，账号浙江飞恋官方旗舰店（品牌官方，46.2w粉），围绕话题#晴雨两用伞（6.4亿播放 / 12.4w视频 / 同比+4%），代表视频《挑战飞恋手电筒伞 照亮3公里夜路》。,https://www.douyin.com/search/晴雨两用伞?type=video,视频12.4w / 播放6.4亿,搜索热度+32%,月销2万单,短视频带货 单条 2200单 / GMV 12.8万
,,,,totem图腾 - 双11 雨伞品类战报 抖音全面超越天猫,抖音,2026-05,对比实验 | 16骨大号伞 8600万 | 4.2w粉,抖音户外伞/遮阳赛道的对比实验内容，账号totem图腾（户外品牌，4.2w粉），围绕话题#16骨大号伞（8600万播放 / 1.6w视频 / 同比+16%），代表视频《双11 雨伞品类战报 抖音全面超越天猫》。,https://www.douyin.com/search/16骨大号伞?type=video,视频1.6w / 播放8600万,搜索热度+新,月销8千-1万单,星图 报价 12万 / 视频播放 1800万 / 互动 28万
,,,,南方暴雨 - 我把价值¥200的伞丢进搅拌机 结果,抖音,2025-12,品牌联名 | 16骨大号伞 8600万 | 200w+粉,抖音南方暴雨/出行赛道的品牌联名内容，账号南方暴雨（气象，200w+粉），围绕话题#16骨大号伞（8600万播放 / 1.6w视频 / 同比+16%），代表视频《我把价值¥200的伞丢进搅拌机 结果》。,https://www.douyin.com/search/16骨大号伞?type=video,视频1.6w / 播放8600万,搜索热度+12%,蝉妈妈销量榜Top 10,单条爆款 3200万 播放 / 58万 赞 / 12.8万 评论
,,,,今日有雪223 - 工厂老板揭秘: 10元的伞和100元的伞差在哪,抖音,2026-08,KOL体验 | 折叠伞 12.4亿 | 100w+粉,抖音台风街头/雨伞场景赛道的KOL体验内容，账号今日有雪223（街头纪实，100w+粉），围绕话题#折叠伞（12.4亿播放 / 26.8w视频 / 同比+5%），代表视频《工厂老板揭秘: 10元的伞和100元的伞差在哪》。,https://www.douyin.com/search/折叠伞?type=video,视频26.8w / 播放12.4亿,搜索热度++85%,蝉妈妈销量榜Top 1,品牌广告位 累计曝光 1.2亿 / 点击 320万 / 转化 8.6万
,,,,江浙沪梅雨 - 雨伞工厂实拍 一天生产5000把,抖音,2026-08-05,品牌联名 | 机械臂钓鱼伞 2400万 | 42w粉,抖音梅雨季/雨具实用赛道的品牌联名内容，账号江浙沪梅雨（本地资讯，42w粉），围绕话题#机械臂钓鱼伞（2400万播放 / 0.4w视频 / 同比+58%），代表视频《雨伞工厂实拍 一天生产5000把》。,https://www.douyin.com/search/机械臂钓鱼伞?type=video,视频0.4w / 播放2400万,搜索热度+24%,月销1万-3万单,广告投放 ROI 3.2 / 单次转化成本 ¥4.8 / 月GMV 1200万
,,,,必朗官方 - 婚礼红伞 花瓣雨里的浪漫,抖音,2026-01,工厂实拍 | 黑胶防晒伞 5.2亿 | 12w粉,抖音中端雨伞赛道的工厂实拍内容，账号必朗官方（品牌，12w粉），围绕话题#黑胶防晒伞（5.2亿播放 / 8.4w视频 / 同比+24%），代表视频《婚礼红伞 花瓣雨里的浪漫》。,https://www.douyin.com/search/黑胶防晒伞?type=video,视频8.4w / 播放5.2亿,搜索热度+5%,月销8千-1万单,DOU+ 加热 单条消耗 ¥2.4万 / 播放 680万 / 涨粉 4.6万
,,,,浙江飞恋官方旗舰店 - 对比10款防晒伞 这把能挡99.9%紫外线,抖音,2025-12,非遗手作 | 三折伞 1.8亿 | 46.2w粉,抖音工厂直播/反向折叠/IP联名赛道的非遗手作内容，账号浙江飞恋官方旗舰店（品牌官方，46.2w粉），围绕话题#三折伞（1.8亿播放 / 3.2w视频 / 同比+3%），代表视频《对比10款防晒伞 这把能挡99.9%紫外线》。,https://www.douyin.com/search/三折伞?type=video,视频3.2w / 播放1.8亿,搜索热度+12%,蝉妈妈销量榜Top 10,抖音热搜 #飞恋伞 #持续 12小时
,,,,totem图腾 - 商务伞的隐藏功能 你绝对不知道,抖音,2026-06,天气纪实 | 反光伞 2200万 | 4.2w粉,抖音户外伞/遮阳赛道的天气纪实内容，账号totem图腾（户外品牌，4.2w粉），围绕话题#反光伞（2200万播放 / 0.4w视频 / 同比+85%），代表视频《商务伞的隐藏功能 你绝对不知道》。,https://www.douyin.com/search/反光伞?type=video,视频0.4w / 播放2200万,搜索热度+32%,月销3万-5万单,星图 报价 12万 / 视频播放 1800万 / 互动 28万
,,,,Knirps克尼普斯 - 一把伞让油纸伞大师哭了出来,抖音,2026-03,用户故事 | 源头工厂 12.4亿 | 5.6w粉,抖音高端商务赛道的用户故事内容，账号Knirps克尼普斯（德系，5.6w粉），围绕话题#源头工厂（12.4亿播放 / 26.8w视频 / 同比+8%），代表视频《一把伞让油纸伞大师哭了出来》。,https://www.douyin.com/search/源头工厂?type=video,视频26.8w / 播放12.4亿,搜索热度+24%,月销1万-3万单,POI 杭州萧山 雨伞工厂 打卡 6.8w 次
,,,,WPC官方 - 油纸伞72道工艺 一把伞做3个月,抖音,2025-Q4,广告投放 | 黑胶防晒伞 5.2亿 | 8.4w粉,抖音日系/ins风赛道的广告投放内容，账号WPC官方（日牌，8.4w粉），围绕话题#黑胶防晒伞（5.2亿播放 / 8.4w视频 / 同比+24%），代表视频《油纸伞72道工艺 一把伞做3个月》。,https://www.douyin.com/search/黑胶防晒伞?type=video,视频8.4w / 播放5.2亿,搜索热度+46%,月销5万单,抖音电商 运动户外榜 投放榜 Top 1
,,,,黑雨伞工厂店 - 商务伞的隐藏功能 你绝对不知道,抖音,2026-07,产品上市 | 反向折叠伞 1.2亿 | 12.8w粉,抖音黑胶/防紫外线/抖音爆款赛道的产品上市内容，账号黑雨伞工厂店（源头工厂，12.8w粉），围绕话题#反向折叠伞（1.2亿播放 / 2.1w视频 / 同比+47%），代表视频《商务伞的隐藏功能 你绝对不知道》。,https://www.douyin.com/search/反向折叠伞?type=video,视频2.1w / 播放1.2亿,搜索热度+8%,月销5000单,系列视频 累计 1.2亿 播放 / 186万 赞 / 24.6万 评论
,,,,江浙沪包邮 - 8款自动开合伞对比 谁才是真一键,抖音,2026-Q2,话题挑战 | 钓鱼伞 3.8亿 | 28w粉,抖音源头工厂/直播赛道的话题挑战内容，账号江浙沪包邮（探店号，28w粉），围绕话题#钓鱼伞（3.8亿播放 / 4.2w视频 / 同比+64.3%），代表视频《8款自动开合伞对比 谁才是真一键》。,https://www.douyin.com/search/钓鱼伞?type=video,视频4.2w / 播放3.8亿,搜索热度+8%,新上榜,蝉妈妈榜 雨伞品类 销量榜 No.1
,,,,FULTON富尔顿 - 一把伞让油纸伞大师哭了出来,抖音,2025-12,种草安利 | 高尔夫伞 6200万 | 3.8w粉,抖音鸟笼伞/英伦绅士赛道的种草安利内容，账号FULTON富尔顿（英伦，3.8w粉），围绕话题#高尔夫伞（6200万播放 / 1.2w视频 / 同比+11%），代表视频《一把伞让油纸伞大师哭了出来》。,https://www.douyin.com/search/高尔夫伞?type=video,视频1.2w / 播放6200万,搜索热度+8%,蝉妈妈销量榜Top 3,千川 投放 单计划日耗 ¥8000 / 转化 2.4万 / 客单价 ¥58
,,,,小红薯 - 对比10款防晒伞 这把能挡99.9%紫外线,抖音,2026-08-12,品牌联名 | 反季雨伞 6800万 | 180w粉,抖音防晒伞/通勤/颜值赛道的品牌联名内容，账号小红薯（种草，180w粉），围绕话题#反季雨伞（6800万播放 / 1.2w视频 / 同比+9%），代表视频《对比10款防晒伞 这把能挡99.9%紫外线》。,https://www.douyin.com/search/反季雨伞?type=video,视频1.2w / 播放6800万,搜索热度+12%,月销5万单,特效道具 雨伞AR 使用 1.2亿 次
,,,,天堂伞官方 - 透明伞里的光影 周末拍照神器,抖音,2026-08,实景测试 | 夏季防晒伞 4.8亿 | 18w粉,抖音国民品牌赛道的实景测试内容，账号天堂伞官方（品牌，18w粉），围绕话题#夏季防晒伞（4.8亿播放 / 8.6w视频 / 同比+24%），代表视频《透明伞里的光影 周末拍照神器》。,https://www.douyin.com/search/夏季防晒伞?type=video,视频8.6w / 播放4.8亿,搜索热度++85%,蝉妈妈销量榜Top 10,抖音热搜 #飞恋伞 #持续 12小时
,,,,9号伞业 - 暴雨天打伞 vs 不打伞 实验对比,抖音,2026-08,非遗手作 | 反伞黑胶 1.8亿 | 8.4w粉,抖音1688同款/直供赛道的非遗手作内容，账号9号伞业（工厂直播，8.4w粉），围绕话题#反伞黑胶（1.8亿播放 / 3.2w视频 / 同比+22%），代表视频《暴雨天打伞 vs 不打伞 实验对比》。,https://www.douyin.com/search/反伞黑胶?type=video,视频3.2w / 播放1.8亿,搜索热度+8%,月销10万+单,达人推广 触达 4200万 / 互动 86万 / 转化 12.4万
,,,,舟山小船哥 - 保康暴雨 暖视频里那把伞火了,抖音,2026-07,PK对比 | 非遗油纸伞 1.4亿 | 44w粉,抖音海上/极端天气雨伞赛道的PK对比内容，账号舟山小船哥（渔民，44w粉），围绕话题#非遗油纸伞（1.4亿播放 / 2.6w视频 / 同比+38%），代表视频《保康暴雨 暖视频里那把伞火了》。,https://www.douyin.com/search/非遗油纸伞?type=video,视频2.6w / 播放1.4亿,搜索热度+46%,蝉妈妈销量榜Top 1,POI 杭州萧山 雨伞工厂 打卡 6.8w 次
,,,,飞恋伞厂 - 这把伞能让外卖小哥续命 暴雨天,抖音,2026-Q1,KOL体验 | 女士雨伞 1.2亿 | 200w粉,抖音手电筒伞/夜路伞/反向折叠/IP联名赛道的KOL体验内容，账号飞恋伞厂（源头工厂，200w粉），围绕话题#女士雨伞（1.2亿播放 / 2.4w视频 / 同比+6%），代表视频《这把伞能让外卖小哥续命 暴雨天》。,https://www.douyin.com/search/女士雨伞?type=video,视频2.4w / 播放1.2亿,搜索热度+32%,月销10万+单,挑战赛 #夏日雨伞 累计参与视频 12.4w 条 / 播放 8.6亿
,,,,江浙沪梅雨 - 挑战飞恋手电筒伞 照亮3公里夜路,抖音,2026-08,反向种草 | 晴雨两用伞 6.4亿 | 42w粉,抖音梅雨季/雨具实用赛道的反向种草内容，账号江浙沪梅雨（本地资讯，42w粉），围绕话题#晴雨两用伞（6.4亿播放 / 12.4w视频 / 同比+4%），代表视频《挑战飞恋手电筒伞 照亮3公里夜路》。,https://www.douyin.com/search/晴雨两用伞?type=video,视频12.4w / 播放6.4亿,搜索热度+18%,月销1万-3万单,蝉妈妈榜 雨伞品类 销量榜 No.1
,,,,浙江飞恋官方旗舰店 - 黑胶伞防晒实验 UV卡片变色测试,抖音,2026-08-10,非遗手作 | 反伞黑胶 1.8亿 | 46.2w粉,抖音工厂直播/反向折叠/IP联名赛道的非遗手作内容，账号浙江飞恋官方旗舰店（品牌官方，46.2w粉），围绕话题#反伞黑胶（1.8亿播放 / 3.2w视频 / 同比+22%），代表视频《黑胶伞防晒实验 UV卡片变色测试》。,https://www.douyin.com/search/反伞黑胶?type=video,视频3.2w / 播放1.8亿,搜索热度++85%,月销2万单,短视频带货 单条 2200单 / GMV 12.8万
,,,,SENKESI - 暴雨12小时 12骨伞全程无故障,抖音,2026-08-12,产品上市 | 女士雨伞 1.2亿 | 6.3w粉,抖音全自动/性价比赛道的产品上市内容，账号SENKESI（品牌，6.3w粉），围绕话题#女士雨伞（1.2亿播放 / 2.4w视频 / 同比+6%），代表视频《暴雨12小时 12骨伞全程无故障》。,https://www.douyin.com/search/女士雨伞?type=video,视频2.4w / 播放1.2亿,搜索热度+18%,蝉妈妈销量榜Top 3,单条视频 2200万 播放 / 46万 赞 / 8.2万 评论 / 12.4万 转发
,,,,SENKESI - 12骨 vs 8骨 vs 6骨 哪种才防风,抖音,2025-Q4,话题挑战 | 黑胶伞 4.8亿 | 6.3w粉,抖音全自动/性价比赛道的话题挑战内容，账号SENKESI（品牌，6.3w粉），围绕话题#黑胶伞（4.8亿播放 / 8.6w视频 / 同比+18%），代表视频《12骨 vs 8骨 vs 6骨 哪种才防风》。,https://www.douyin.com/search/黑胶伞?type=video,视频8.6w / 播放4.8亿,搜索热度++85%,新上榜,品牌任务 累计 6800 创作者参与 / 8.2w 视频
,,,,天堂伞官方 - 黑胶伞防晒实验 UV卡片变色测试,抖音,2026-08-10,热销榜单 | 商务雨伞 3200万 | 18w粉,抖音国民品牌赛道的热销榜单内容，账号天堂伞官方（品牌，18w粉），围绕话题#商务雨伞（3200万播放 / 0.6w视频 / 同比+8%），代表视频《黑胶伞防晒实验 UV卡片变色测试》。,https://www.douyin.com/search/商务雨伞?type=video,视频0.6w / 播放3200万,搜索热度+32%,月销5万单,同城 雨伞相关 搜索指数 18万 / 同比 +46%
,,,,钓鱼伞源头 - 婚礼红伞 花瓣雨里的浪漫,抖音,2025-Q4,开箱测评 | 晴雨两用伞 6.4亿 | 3.2w粉,抖音钓鱼伞/万向/机械臂赛道的开箱测评内容，账号钓鱼伞源头（工厂，3.2w粉），围绕话题#晴雨两用伞（6.4亿播放 / 12.4w视频 / 同比+4%），代表视频《婚礼红伞 花瓣雨里的浪漫》。,https://www.douyin.com/search/晴雨两用伞?type=video,视频12.4w / 播放6.4亿,搜索热度+18%,蝉妈妈销量榜Top 1,广告投放 ROI 3.2 / 单次转化成本 ¥4.8 / 月GMV 1200万
,,,,闻士善 - 梅雨季通勤神伞 5折口袋伞实测,抖音,2026-05,种草安利 | 反向伞 9200万 | 65w粉,抖音古法油纸伞/非遗手作赛道的种草安利内容，账号闻士善（闻叔的伞，65w粉），围绕话题#反向伞（9200万播放 / 1.8w视频 / 同比+38%），代表视频《梅雨季通勤神伞 5折口袋伞实测》。,https://www.douyin.com/search/反向伞?type=video,视频1.8w / 播放9200万,搜索热度+24%,月销5万单,直播间同时在线 4.2万 / 累计观看 320万 / GMV 186万
,,,,WPC官方 - 5分钟教会你怎么挑黑胶伞,抖音,2026-08-14,开箱测评 | 机械臂钓鱼伞 2400万 | 8.4w粉,抖音日系/ins风赛道的开箱测评内容，账号WPC官方（日牌，8.4w粉），围绕话题#机械臂钓鱼伞（2400万播放 / 0.4w视频 / 同比+58%），代表视频《5分钟教会你怎么挑黑胶伞》。,https://www.douyin.com/search/机械臂钓鱼伞?type=video,视频0.4w / 播放2400万,搜索热度+18%,月销10万+单,抖音热搜 #飞恋伞 #持续 12小时
,,,,浙江飞恋官方旗舰店 - 挑战飞恋手电筒伞 照亮3公里夜路,抖音,2026-05,实景测试 | 广告伞定制 2400万 | 46.2w粉,抖音工厂直播/反向折叠/IP联名赛道的实景测试内容，账号浙江飞恋官方旗舰店（品牌官方，46.2w粉），围绕话题#广告伞定制（2400万播放 / 0.4w视频 / 同比+14%），代表视频《挑战飞恋手电筒伞 照亮3公里夜路》。,https://www.douyin.com/search/广告伞定制?type=video,视频0.4w / 播放2400万,搜索热度+12%,月销10万+单,自然流量占比 78% / 搜索流量 12% / 推荐流 56%
,,,,雷鹏琳 - 对比10款防晒伞 这把能挡99.9%紫外线,抖音,2025-Q4,种草安利 | 折叠伞 12.4亿 | 184w→200w粉,抖音全品类飞恋产品/工厂实拍赛道的种草安利内容，账号雷鹏琳（KOL+老板，184w→200w粉），围绕话题#折叠伞（12.4亿播放 / 26.8w视频 / 同比+5%），代表视频《对比10款防晒伞 这把能挡99.9%紫外线》。,https://www.douyin.com/search/折叠伞?type=video,视频26.8w / 播放12.4亿,搜索热度+8%,月销8千-1万单,特效道具 雨伞AR 使用 1.2亿 次
,,,,WPC官方 - 保康暴雨 暖视频里那把伞火了,抖音,2026-08-13,热销榜单 | ins风伞 9200万 | 8.4w粉,抖音日系/ins风赛道的热销榜单内容，账号WPC官方（日牌，8.4w粉），围绕话题#ins风伞（9200万播放 / 1.8w视频 / 同比+28%），代表视频《保康暴雨 暖视频里那把伞火了》。,https://www.douyin.com/search/ins风伞?type=video,视频1.8w / 播放9200万,搜索热度+12%,月销8千-1万单,短视频带货 单条 2200单 / GMV 12.8万
,,,,小红薯测评 - 台风天的12骨伞 比花伞强在哪,抖音,2026-03,种草安利 | 三折黑胶伞 3.6亿 | 87.6w粉,抖音雨伞横评/对比赛道的种草安利内容，账号小红薯测评（测评号，87.6w粉），围绕话题#三折黑胶伞（3.6亿播放 / 6.4w视频 / 同比+14%），代表视频《台风天的12骨伞 比花伞强在哪》。,https://www.douyin.com/search/三折黑胶伞?type=video,视频6.4w / 播放3.6亿,搜索热度+8%,月销5000单,单条爆款 3200万 播放 / 58万 赞 / 12.8万 评论
,,,,FULTON富尔顿 - 对比10款防晒伞 这把能挡99.9%紫外线,抖音,2026-01,PK对比 | 台风伞 4200万 | 3.8w粉,抖音鸟笼伞/英伦绅士赛道的PK对比内容，账号FULTON富尔顿（英伦，3.8w粉），围绕话题#台风伞（4200万播放 / 0.8w视频 / 同比+44%），代表视频《对比10款防晒伞 这把能挡99.9%紫外线》。,https://www.douyin.com/search/台风伞?type=video,视频0.8w / 播放4200万,搜索热度+24%,月销1万-3万单,抖音热榜 #雨伞 #3 累计 9200万 播放
,,,,浙江飞恋官方旗舰店 - 源头工厂: 为什么1688的伞能便宜3倍,抖音,2026-08-10,工艺揭秘 | 反光伞 2200万 | 46.2w粉,抖音工厂直播/反向折叠/IP联名赛道的工艺揭秘内容，账号浙江飞恋官方旗舰店（品牌官方，46.2w粉），围绕话题#反光伞（2200万播放 / 0.4w视频 / 同比+85%），代表视频《源头工厂: 为什么1688的伞能便宜3倍》。,https://www.douyin.com/search/反光伞?type=video,视频0.4w / 播放2200万,搜索热度+18%,新上榜,抖音热搜 #飞恋伞 #持续 12小时
,,,,黑雨伞源头工厂 - 暴雨天打伞 vs 不打伞 实验对比,抖音,2026-08-12,PK对比 | 非遗油纸伞 1.4亿 | 5.6w粉,抖音黑胶/防晒/直供赛道的PK对比内容，账号黑雨伞源头工厂（源头工厂，5.6w粉），围绕话题#非遗油纸伞（1.4亿播放 / 2.6w视频 / 同比+38%），代表视频《暴雨天打伞 vs 不打伞 实验对比》。,https://www.douyin.com/search/非遗油纸伞?type=video,视频2.6w / 播放1.4亿,搜索热度+46%,月销10万+单,自然流量占比 78% / 搜索流量 12% / 推荐流 56%
,,,,WPC官方 - 黄景瑜同款三折黑胶伞 1688平替,抖音,2026-01,开箱测评 | 1688源头 1.2亿 | 8.4w粉,抖音日系/ins风赛道的开箱测评内容，账号WPC官方（日牌，8.4w粉），围绕话题#1688源头（1.2亿播放 / 2.4w视频 / 同比+15%），代表视频《黄景瑜同款三折黑胶伞 1688平替》。,https://www.douyin.com/search/1688源头?type=video,视频2.4w / 播放1.2亿,搜索热度+18%,月销2万单,抖音热搜 #飞恋伞 #持续 12小时
,,,,黑雨伞工厂店 - 婚礼红伞 花瓣雨里的浪漫,抖音,2026-02,用户故事 | 全自动伞 3.2亿 | 12.8w粉,抖音黑胶/防紫外线/抖音爆款赛道的用户故事内容，账号黑雨伞工厂店（源头工厂，12.8w粉），围绕话题#全自动伞（3.2亿播放 / 5.6w视频 / 同比+9%），代表视频《婚礼红伞 花瓣雨里的浪漫》。,https://www.douyin.com/search/全自动伞?type=video,视频5.6w / 播放3.2亿,搜索热度+新,月销1万-3万单,挑战赛 #夏日雨伞 累计参与视频 12.4w 条 / 播放 8.6亿
,,,,今日有雪223 - 商务伞的隐藏功能 你绝对不知道,抖音,2026-08-10,工艺揭秘 | 油纸伞 8.1亿 | 100w+粉,抖音台风街头/雨伞场景赛道的工艺揭秘内容，账号今日有雪223（街头纪实，100w+粉），围绕话题#油纸伞（8.1亿播放 / 12.6w视频 / 同比+18%），代表视频《商务伞的隐藏功能 你绝对不知道》。,https://www.douyin.com/search/油纸伞?type=video,视频12.6w / 播放8.1亿,搜索热度++85%,月销10万+单,星图 报价 12万 / 视频播放 1800万 / 互动 28万
,,,,雷鹏琳 - 5分钟教会你怎么挑黑胶伞,抖音,2025-Q4,节日应季 | 钛银胶伞 6400万 | 184w→200w粉,抖音全品类飞恋产品/工厂实拍赛道的节日应季内容，账号雷鹏琳（KOL+老板，184w→200w粉），围绕话题#钛银胶伞（6400万播放 / 1.2w视频 / 同比+22%），代表视频《5分钟教会你怎么挑黑胶伞》。,https://www.douyin.com/search/钛银胶伞?type=video,视频1.2w / 播放6400万,搜索热度+8%,月销2万单,特效道具 雨伞AR 使用 1.2亿 次
,,,,浙江飞恋官方旗舰店 - 从1688到抖音 这把反向折叠伞爆卖100万,抖音,2026-06,实景测试 | 全自动伞 3.2亿 | 46.2w粉,抖音工厂直播/反向折叠/IP联名赛道的实景测试内容，账号浙江飞恋官方旗舰店（品牌官方，46.2w粉），围绕话题#全自动伞（3.2亿播放 / 5.6w视频 / 同比+9%），代表视频《从1688到抖音 这把反向折叠伞爆卖100万》。,https://www.douyin.com/search/全自动伞?type=video,视频5.6w / 播放3.2亿,搜索热度+18%,月销2万单,千川 投放 单计划日耗 ¥8000 / 转化 2.4万 / 客单价 ¥58
,,,,吐泡沫的鱼 - 我用这把伞给油纸伞重生的勇气,抖音,2026-04,用户故事 | 晴雨两用伞 6.4亿 | 30w+粉,抖音保康暖视频/雨伞/极端天气赛道的用户故事内容，账号吐泡沫的鱼（生活记录，30w+粉），围绕话题#晴雨两用伞（6.4亿播放 / 12.4w视频 / 同比+4%），代表视频《我用这把伞给油纸伞重生的勇气》。,https://www.douyin.com/search/晴雨两用伞?type=video,视频12.4w / 播放6.4亿,搜索热度+24%,月销5000单,单条爆款 3200万 播放 / 58万 赞 / 12.8万 评论
,,,,BELLE MAISON - 从1688到抖音 这把反向折叠伞爆卖100万,抖音,2025-Q4,节日应季 | 雨伞测评 1.8亿 | 2.1w粉,抖音日系/家庭赛道的节日应季内容，账号BELLE MAISON（日系，2.1w粉），围绕话题#雨伞测评（1.8亿播放 / 3.2w视频 / 同比+18%），代表视频《从1688到抖音 这把反向折叠伞爆卖100万》。,https://www.douyin.com/search/雨伞测评?type=video,视频3.2w / 播放1.8亿,搜索热度+24%,月销5万单,星图 报价 12万 / 视频播放 1800万 / 互动 28万
,,,,黑雨伞源头工厂 - 这把伞能让外卖小哥续命 暴雨天,抖音,2026-08-14,节日应季 | 晴雨两用伞 6.4亿 | 5.6w粉,抖音黑胶/防晒/直供赛道的节日应季内容，账号黑雨伞源头工厂（源头工厂，5.6w粉），围绕话题#晴雨两用伞（6.4亿播放 / 12.4w视频 / 同比+4%），代表视频《这把伞能让外卖小哥续命 暴雨天》。,https://www.douyin.com/search/晴雨两用伞?type=video,视频12.4w / 播放6.4亿,搜索热度+8%,月销5000单,蝉妈妈榜 雨伞品类 销量榜 No.1
,,,,雷鹏琳 - 三折黑胶伞 通勤族的黑科技,抖音,2026-Q1,短视频带货 | 蕾丝防晒伞 6800万 | 184w→200w粉,抖音全品类飞恋产品/工厂实拍赛道的短视频带货内容，账号雷鹏琳（KOL+老板，184w→200w粉），围绕话题#蕾丝防晒伞（6800万播放 / 1.2w视频 / 同比+21%），代表视频《三折黑胶伞 通勤族的黑科技》。,https://www.douyin.com/search/蕾丝防晒伞?type=video,视频1.2w / 播放6800万,搜索热度+8%,月销5万-10万单,抖音热搜 #飞恋伞 #持续 12小时
,,,,totem图腾 - 油纸伞72道工艺 一把伞做3个月,抖音,2025-12,天气纪实 | 雨伞测评 1.8亿 | 4.2w粉,抖音户外伞/遮阳赛道的天气纪实内容，账号totem图腾（户外品牌，4.2w粉），围绕话题#雨伞测评（1.8亿播放 / 3.2w视频 / 同比+18%），代表视频《油纸伞72道工艺 一把伞做3个月》。,https://www.douyin.com/search/雨伞测评?type=video,视频3.2w / 播放1.8亿,搜索热度+5%,月销3万-5万单,POI 杭州萧山 雨伞工厂 打卡 6.8w 次
,,,,必朗官方 - 钓鱼佬花2000买伞 3年没坏,抖音,2026-08-12,PK对比 | 通勤雨伞 4800万 | 12w粉,抖音中端雨伞赛道的PK对比内容，账号必朗官方（品牌，12w粉），围绕话题#通勤雨伞（4800万播放 / 0.8w视频 / 同比+12%），代表视频《钓鱼佬花2000买伞 3年没坏》。,https://www.douyin.com/search/通勤雨伞?type=video,视频0.8w / 播放4800万,搜索热度+46%,月销2万单,广告投放 ROI 3.2 / 单次转化成本 ¥4.8 / 月GMV 1200万
